#FreeAmade	O
sì	O
pín	O
àwọn	O
ènìyàn	O
sí	O
agbègbè	O
ni	O
wọ́n	O
ti	O
ṣe	O
ìwádìí	O
àyẹ̀wò	O
yìí	O
.	O
	
Bí	O
ó	O
ti	O
wù	O
kíó	O
rí	O
,	O
kò	O
sí	O
ohùn	O
àwọn	O
Adamawa	O
,	O
Borno	O
,	O
àti	O
ìpínlẹ̀	O
Yobe	O
ní	O
àríwá	O
ìlà-oòrùn	O
Nàìjíríà	B-LOC
nínú	O
àbájáde	O
ìwádìí	O
náà	O
nítorí	O
ọ̀rọ̀	O
ààbò	O
.	O
	
Nàìjíríà	B-LOC
ní	O
ìjọba	O
ìbílẹ̀	O
774	O
,	O
tí	O
í	O
ṣe	O
ẹ̀ka	O
aláṣẹ	O
ìjọba	O
ìbílẹ̀	O
.	O
	
Bákan	O
náà	O
ni	O
ó	O
ní	O
ẹ̀ka	O
àkóso	O
mẹ́fàá	O
:	O
Àárín	O
gbùngbùn	O
Àríwá	O
,	O
Àríwá	O
Ìlà-oòrùn	O
,	O
Àríwá	O
Ìwọ̀-oòrùn	O
,	O
Àjìǹdò-gúúsù	O
,	O
Ìwọ̀-oòrùn	O
gúúsù	O
,	O
àti	O
Ìlà-oòrùnun	O
gúúsù	O
.	O
	
Ọ̀rọ̀ọ	O
Nwanze	O
pé	O
àwọn	O
Onígbàgbọ́	O
ní	O
gúúsù	O
Nàìjíríà	B-LOC
ló	O
pọ̀	O
jù	O
lọ	O
nínú	O
ìwádìí	O
àyẹ̀wò	O
Pew	O
Research	O
kò	O
ṣe	O
é	O
má	O
gbàgbọ́	O
.	O
	
Ìwádìí	O
àyẹ̀wò	O
náà	O
tún	O
fi	O
hàn	O
pé	O
ọ̀pọ̀	O
ọmọ	O
lẹ́yìn	O
Krístì	O
ní	O
Nàìjíríà	B-LOC
rí	O
orílẹ̀-èdèe	O
US	B-ORG
bí	O
ìlú	O
tí	O
ó	O
dára	O
(	O
ìdá	O
69	O
)	O
ju	O
bí	O
àwọn	O
Ìmàlé	O
ṣe	O
rí	O
i	O
lọ	O
(	O
ìdá	O
54)	O
.	O
	
Lẹ́yìn	O
tí	O
orílẹ̀-èdèe	O
Amẹ́ríkà	B-LOC
pa	O
Ọ̀gágun	O
ọmọ	O
Iran	B-LOC
Qasem	B-PER
Soleimani	I-PER
,	O
ọ̀gá	O
ọlọ́pàá	O
tẹ	O
ìkéde	O
ìṣọ́ra	O
ẹni	O
jákèjádò	O
orílẹ̀-èdèe	O
Nàìjíríà	B-LOC
jáde	O
kí	O
ó	O
ba	O
ti	O
ilẹ̀kùn	O
ogun	O
.	O
	
Ẹgbẹ́	O
Ẹ̀sìn	O
Ìmàle	O
ní	O
Nàìjíríà	B-LOC
ṣàpèjúwe	O
ikú	O
oró	O
òjò	O
ọta	O
ìbọn	O
láti	O
òkè	O
wá	O
tí	O
US	B-ORG
fi	O
pa	O
Soleimani	O
gẹ́gẹ́	O
bí	O
ìpè	O
ogun	O
sí	O
Ìran	O
.	O
	
A	B-ORG
ti	O
ṣe	O
àpèjúwe	O
Trump	B-PER
gẹ́gẹ́	O
bí	O
ọ̀kan	O
lára	O
àwọn	O
olórí	O
àgbáyé	O
sáà	O
tí	O
a	O
wà	O
yìí	O
tí	O
ó	O
ní	O
ọkàn	O
líle	O
.	O
	
Síbẹ̀	O
,	O
ọ̀pọ̀	O
ọmọ	O
Nàìjíríà	B-LOC
ló	O
fẹ́ràn-an	O
Trump	B-PER
.	O
	
Twitter	B-ORG
di	O
pápá	O
ìròyìn	O
ayédèrú	O
lásìkò	O
Ìdìbò	O
ọdún-un	B-DATE
2019	I-DATE
ní	O
Nàìjíríà	B-LOC
	
Ọ̀rọ̀	O
Ìkórìíra	O
Ẹ̀yà	O
àti	O
Ayédèrú	O
Ìròyìn	O
tàn	O
ká	O
lórí	O
Twitter	B-ORG
	
Àtẹ̀jáde	O
ìtúmọ̀	O
21	B-DATE
Ṣẹẹrẹ	O
2020	B-DATE
10:25	I-DATE
GMT	O
	
Àtòpọ̀	O
àwòrán	O
láti	O
ọwọ́	O
Nwachukwu	B-PER
Egbunike	I-PER
	
Èyí	O
ni	O
apá	O
kejì	O
ìròyìn	O
nínú	O
àkọsílẹ̀	O
ẹlẹ́ka	O
méjì	O
lórí	O
ọ̀rọ̀	O
ìkórìíra	O
ẹ̀yà	O
lórí	O
ayélujára	O
,	O
ìròyìn	O
ayédèrú	O
àti	O
ìsọkiri	O
lásìkò	O
ìdìbò	O
ọdún-un	B-DATE
2019	I-DATE
lórílẹ̀-èdèe	O
Nàìjíríà	B-LOC
.	O
	
O	O
lè	O
ka	O
apá	O
kìíní	O
níbí	O
.	O
	
Ní	O
orílẹ̀-èdèe	O
Nàìjíríà	B-LOC
,	O
àwùjọ	O
ìbánisọ̀rọ̀	O
orí	O
ayélujára	O
jẹ́	O
ibi	O
tí	O
ìròyìn	O
ìtakora-ẹ̀yà	O
tẹ̀gbintẹ̀gbin	O
àti	O
ìsọkiri	O
ti	O
máa	O
ń	O
gbilẹ̀	O
bíi	O
ṣẹ́lẹ̀rú	O
lásìkò	O
ìdìbò	O
.	O
	
Ní	O
àsìkò	O
ìdìbò	O
ọdún-un	B-DATE
2015	I-DATE
,	O
Twitter	B-ORG
Nàìjíríà	B-LOC
kó	O
sí	O
ìjà	O
àti	O
ìsọ̀rọ̀-takora	O
láàárín	O
àwọn	O
alátilẹyìn	O
olùdíje-dupò	O
méjèèjì	O
tí	O
ó	O
lérò	O
lẹ́yìn	O
jù	O
lọ	O
lásìkò	O
náà	O
,	O
ìyẹn	O
Goodluck	B-PER
Jonathan	I-PER
(	O
ọmọ	O
ẹgbẹ́ẹ	O
PDP	B-ORG
tí	O
ó	O
jẹ́	O
kìrìsìtẹ́nì	O
àti	O
ọmọ	O
Ijaw	O
)	O
àti	O
Muhammadu	B-PER
Buhari	I-PER
(	O
ọmọ	O
ẹgbẹ́	O
APC	B-ORG
tí	O
ó	O
jẹ́	O
Mùsùlùmí	O
àti	O
ọmọ	O
Hausa-Fulani)	O
.	O
	
Túwítà	O
di	O
ohun	O
èlò	O
fún	O
ìsọkiri	O
ọ̀rọ̀	O
ìkórìíra	O
ẹ̀yà	O
àti	O
ọ̀rọ̀	O
ẹgbẹ́	O
òṣèlú	O
.	O
	
Àsìkò	O
ìdìbò	O
ọdún	B-DATE
2019	I-DATE
ò	O
yàtọ̀	O
rárá	O
.	O
	
Ní	O
ọjọ́	B-DATE
15	I-DATE
,	I-DATE
oṣù	I-DATE
Èrèlé	I-DATE
ẹgbẹ́	O
Ajábọ̀	O
Ìròyìn	O
Láìsí	O
Àlà	O
(	O
RSF	B-ORG
)	O
ṣe	O
àkọsílẹ̀	O
kan	O
tí	O
ó	O
ń	O
ṣe	O
àfihàn	O
èròo	O
wọn	O
lórí	O
ìpolongo	O
ìdìbò	O
tí	O
ìròyìn	O
ayédèrú	O
ti	O
mú	O
bàjẹ́	O
.	O
	
Àwọn	O
ọmọ	O
orílẹ̀-èdèe	O
Nàìjíríà	B-LOC
náà	O
fi	O
èròo	O
wọn	O
hàn	O
.	O
	
Akọ̀ròyìn	O
Abdulbaqi	O
Jari	O
túwíìtì	O
pé	O
:	O
	
Ìròyìn	O
ayédèrú	O
àti	O
ìṣèlú	O
ní	O
àwọn	O
orílẹ̀-èdè	O
ilẹ̀	O
Adúláwọ̀	O
	
Ìwádìí	O
ọdún-un	B-DATE
2019	I-DATE
kan	O
láti	O
ọwọ́	O
Dani	B-LOC
Madrid-Morales	O
ní	O
Ilé-ẹ̀kọ́	O
gíga	O
Huston	O
àti	O
Herman	B-PER
Wasserman	I-PER
ní	O
ilé-ẹ̀kọ́	O
gíga	O
Cape	B-LOC
Town	I-LOC
fẹnukò	O
pé	O
ìròyìn	O
irọ́	O
àti	O
ìròyìn	O
ayédèrú	O
ni	O
wọ́n	O
ti	O
máa	O
ń	O
lò	O
láti	O
fi	O
mú	O
ìfẹ́-inú	O
àwọn	O
olóṣèlú	O
ṣẹ	O
ní	O
orílẹ̀-èdèe	O
Nàìjíríà	B-LOC
,	O
Kenya	B-LOC
àti	O
South	B-LOC
Africa	I-LOC
.	O
	
Ọ̀pọ̀	O
Ìròyìn	O
ayédèrú	O
lórí	O
àwọn	O
àwùjọ	O
ìbánisọ̀rọ̀	O
orí	O
ayélujára	O
pàápàá	O
lásìkò	O
ìpolongo	O
ìbò	O
máa	O
ń	O
fa	O
àìgbara-eni-gbọ́	O
láàárín	O
àwọn	O
tí	O
wọ́n	O
ń	O
lo	O
àwùjọ	O
ìbánisọ̀rọ̀	O
orí	O
ayélujára	O
nítorí	O
pé	O
ibẹ̀	O
ni	O
wọ́n	O
ti	O
ń	O
rí	O
‘ìròyìn	O
ayédèrú’	O
lọ́pọ̀	O
ìgbà	O
,	O
Madrid-Morales	O
sọ̀rọ̀	O
.	O
	
Ìwádìí	O
mi	O
lórí	O
onírúurú	O
ẹ̀yà	O
láàárín	B-DATE
ọjọ́	I-DATE
28	I-DATE
,	I-DATE
oṣù	I-DATE
Ọ̀wàrà	I-DATE
ọdún-un	I-DATE
2018	I-DATE
àti	O
ọjọ́	B-DATE
29	I-DATE
oṣù	I-DATE
Èbìbí	I-DATE
,	O
ọdún-un	B-DATE
2019	I-DATE
lórí	O
ìdìbò	O
ọdún-un	B-DATE
2019	I-DATE
lórílẹ̀-èdèe	O
Nàìjíríà	B-LOC
tó	O
wáyé	O
ní	O
ọjọ́	B-DATE
23	I-DATE
,	I-DATE
oṣù	I-DATE
Èrèlé	I-DATE
(	O
láti	O
dìbò	O
yan	O
ààrẹ	O
àti	O
aṣòfin	O
sí	O
ilé	O
ìgbìmọ̀	O
aṣòfin	O
ti	O
orílẹ̀-èdè	O
)	O
àti	O
ọjọ́	B-DATE
9	I-DATE
,	I-DATE
oṣù	I-DATE
Erénà	I-DATE
(	O
láti	O
yan	O
gómìnà	O
àti	O
aṣòfin	O
sí	O
ilé-ìgbìmọ̀	O
aṣòfin	O
ti	O
ìjọba	O
ìpínlẹ̀	O
)	O
ṣe	O
àfihàn	O
ìṣẹ̀lẹ̀	O
ìròyìn	O
ayédèrú	O
méjì	O
pàtàkì	O
kan	O
:	O
ìròyìn	O
ayédèrú	O
tó	O
tako	O
ẹ̀yà	O
kan	O
àti	O
ìsọkiri	O
láti	O
mú	O
èrò	O
inú	O
àwọn	O
olóṣèlú	O
ṣẹ	O
.	O
	
Ìròyìn	O
Ayédèrú	O
tó	O
tako	O
ẹ̀yà	O
	
Peter	B-PER
Obi	I-PER
,	O
igbá	O
kejì	O
Atiku	B-PER
Abubakar	I-PER
tí	O
ó	O
jẹ́	O
òǹdíje-dupò	O
ẹgbẹ́	O
òṣèlú	O
(	O
PDP	B-ORG
)	O
jẹ́	O
ẹni	O
tí	O
ó	O
dojú	O
kọ	O
ìpalára	O
ìròyìn	O
ayédèrú	O
tó	O
tako	O
ẹ̀yà	O
lásìkò	O
ìdìbò	O
tó	O
kọjá	O
.	O
	
Obi	B-ORG
jẹ́	O
gómìnà	O
ìgbà	O
kan	O
rí	O
ní	O
ìpínlẹ̀	O
Anambra	O
ní	O
gúúsù-ìlà	O
oòrùn	O
Nàìjíríà	B-LOC
.	O
	
Ìkànni	O
Túwítà	O
kan	O
tí	O
ó	O
ń	O
ṣe	O
àtìlẹyìn	O
ìpolongo	O
fún	O
Buhari-Osinbajo	O
,	O
Coalition	B-ORG
of	O
Buhari-Osinbajo	O
Movement	O
pín	O
Túwíìtì	O
kan	O
(	O
Atọ́ka	O
1	B-DATE
)	O
tí	O
ó	O
ń	O
fẹ̀sùn	O
kan	O
Obi	B-ORG
pé	O
ó	O
lé	O
àwọn	O
ará	O
àríwá	O
orílẹ̀-èdèe	O
Nàìjíríà	B-LOC
kúrò	O
ní	O
ìpínlẹ̀	O
Anambra	O
nígbà	O
tí	O
ó	O
jẹ́	O
gómìnà	O
.	O
	
Àwòrán	O
1	B-DATE
:	O
Àwòrán	O
Túwíìtì	O
kan	O
láti	O
ọwọ́	O
Coalition	B-ORG
of	O
Buhari-Osibanjo	O
Movement	O
tí	O
ó	O
ń	O
fẹ̀sùn	O
kan	O
òbí	O
pé	O
ó	O
ṣe	O
‘ìdápadà’	O
àwọn	O
ará	O
àríwá	O
sí	O
ìlúu	O
wọn	O
.	O
	
Atọ́ka	O
2	B-DATE
:	O
Àwòrán	O
Túwíìtì	O
kan	O
láti	O
ọwọ́	O
Nasir	B-LOC
El-Rufia	O
	
Gómìnà	O
ìpínlẹ̀-ẹ	O
Kaduna	B-LOC
àti	O
ọmọ	O
ẹgbẹ́	O
òṣèlú	O
tí	O
ó	O
ń	O
ṣè	O
ìjọba	O
lọ́wọ́	O
,	O
Nasir	B-LOC
El-Rufai	O
,	O
mú	O
ẹ̀sùn	O
yìí	O
rinlẹ̀	O
sí	O
i	O
,	O
ó	O
túwíìtì	O
(	O
Atọ́ka	O
2	B-DATE
)	O
pé	O
Obi	B-ORG
jẹ́	O
ẹni	O
tí	O
ó	O
ń	O
ṣe	O
ìyàtọ̀ọ̀tọ̀	O
ẹ̀yà	O
.	O
	
Ohun	O
tí	O
El-Rufai	O
sọ	O
yìí	O
ò	O
mú	O
kí	O
ipò	O
igbákejì	O
ààrẹ	O
tọ́	O
fún	O
Obi	B-ORG
.	O
	
Kà	O
sí	O
i	O
:	O
Gómìnà	O
kan	O
ní	O
Nàìjíríà	B-LOC
kìlọ̀	O
fún	O
ìjọba	O
ilẹ̀	O
òkèèrè	O
:	O
Ẹ	O
dá	O
sí	O
ọ̀rọ̀	O
ìdìbò	O
wa	O
kí	O
‘ẹ	O
padà	O
sí	O
ìlú	O
yín	O
ní	O
òkú’	O
	
Kí	O
ni	O
ohun	O
tí	O
ó	O
ṣẹlẹ̀	O
gan-an	O
?	B-PER
	
Ilé-iṣẹ́	O
ìwé	O
ìròyìn	O
Vanguard	B-ORG
jábọ̀	O
wípé	O
ní	O
oṣù	B-DATE
Agẹmọ	I-DATE
ọdún-un	I-DATE
2013	I-DATE
,	O
ọmọ	O
Nàìjíríà	B-LOC
67	O
tí	O
ọ̀pọ̀lọpọ̀	O
wọn	O
wá	O
láti	O
ilẹ̀-ẹ	O
Igbo	O
ni	O
wọ́n	O
dá	O
padà	O
láti	O
Èkó	B-LOC
tí	O
wọ́n	O
sì	O
pa	O
wọ́n	O
tì	O
sí	O
ibi	O
kan	O
náà	O
ní	O
agbègbè	O
Upper	O
Iweka	O
tí	O
ó	O
gbajúmọ̀	O
ní	O
Onitsha	B-LOC
,	O
Ìpínlẹ̀	O
Anambra	O
.	O
	
Obi	B-ORG
,	O
tí	O
ó	O
jẹ́	O
gómìnà	O
ìpínlẹ̀	O
Anambra	O
ní	O
ìgbà	O
náà	O
,	O
ṣàpèjúwe	O
ìhùwàsí	O
yìí	O
tí	O
akẹgbẹ́-ẹ	O
‘ẹ̀	O
Túndé	O
Fáṣọlá	O
ní	O
ìpínlẹ̀	O
Èkó	B-LOC
hù	O
gẹ́gẹ́	O
bí	O
ohun	O
tí	O
kò	O
bá	O
òfin	O
mu	O
àti	O
ìrúfin	O
ẹ̀tọ́	O
ọmọnìyàn	O
àwọn	O
ẹni	O
tí	O
ó	O
di	O
èrò	O
ìlúu	O
wọn	O
.	O
	
Lẹ́yìn	O
ìbínúu	O
gbogboògbò	O
tí	O
ọ̀rọ̀	O
yìí	O
fà	O
,	O
Premium	B-ORG
Times	I-ORG
jábọ̀	O
pé	O
Obi	B-ORG
náà	O
jẹ̀bi	O
irú	O
ọ̀rọ̀	O
bẹ́ẹ̀	O
:	O
Ní	O
2011	B-DATE
,	O
ó	O
lé	O
àwọn	O
atọrọbárà	O
tó	O
jẹ́	O
ọmọdé	O
padà	O
sí	O
ìpínlẹ̀	O
Ebonyi	O
àti	O
Akwa	O
Ibom	O
,	O
ní	O
apá	O
gúúsù	O
orílẹ̀-èdèe	O
Nàìjíríà	B-LOC
.	O
	
Atọ́ka	O
3	B-DATE
:	O
Àwòrán	O
Túwíìtì	O
kan	O
láti	O
ọwọ́	O
Jubril	B-PER
A	B-ORG
.	O
	
Gawat	O
	
Nígbà	O
tí	O
Obi	B-ORG
dá	O
àwọn	O
oníbárà	O
padà	O
sí	O
àwọn	O
ìpínlẹ̀	O
ní	O
Gúúsù	O
Nàìjíríà	B-LOC
lóòótọ́	O
,	O
kò	O
lé	O
àwọn	O
ará	O
Àríwá	O
,	O
ẹ̀sùn	O
tí	O
ìṣàmúlò-o	O
Twitter	B-ORG
ẹgbẹ́	O
alátìlẹ́yìn-in	O
Coalition	B-ORG
of	O
Buhari-Osinbajo	O
Movement	O
túwíìtì	O
(	O
Atọ́ka	O
1	B-DATE
)	O
kò	O
gún	O
régé	O
.	O
	
Kódà	O
Túndé	O
Fáṣọlá	O
ti	O
ẹgbẹ́	O
APC	B-ORG
ni	O
ó	O
ṣe	O
ìdápadà	O
àwọn	O
ará	O
Àríwá	O
70	O
sí	O
ìpínlẹ̀-ẹ	O
Kano	B-LOC
nítorí	O
wọ́n	O
tọrọ	O
bárà	O
gẹ́gẹ́	O
bí	O
ìwé	O
ìròyìn	O
aṣèwádìí	O
lórí	O
ayélujára	O
Sahara	B-ORG
Reporters	I-ORG
ṣẹ	O
jábọ̀	O
.	O
	
Bẹ́ẹ̀	O
àwọn	O
agbèsẹ́yìn	O
egbẹ́	O
òṣèlú	O
APC	B-ORG
ni	O
wọ́n	O
ṣàmúlò	O
ìròyìn	O
ayédèrú	O
tó	O
tako	O
ẹ̀yà	O
kan	O
yìí	O
láti	O
fi	O
bu	O
ẹnu	O
àtẹ́	O
lu	O
òǹdíje-dupò	O
lábẹ́	O
àsíá	O
ẹgbẹ́	O
tó	O
tako	O
ẹ̀gbẹ́ẹ	O
wọn	O
.	O
	
Fún	O
àpẹẹrẹ	O
,	O
Jubril	B-PER
Gawat	O
tí	O
wọ́n	O
ṣẹ̀ṣẹ̀	O
yàn	O
sípò	O
aṣèrànwọ́	O
Gómìnà	B-PER
pàtàkì	O
lórí	O
ẹ̀rọ	O
ìgbéròyìnjáde	O
ìgbàlódé	O
tuntun	O
túwíìtì	O
pé	O
(	O
Atọ́ka	O
3	B-DATE
)	O
ìbò	O
kan	O
fún	O
òǹdíje-dupò	O
ẹgbẹ́	O
atako	O
Atiku	B-PER
Abubakar	I-PER
jẹ́	O
ìbò	O
fún	O
ẹ̀yà	O
Igbo	O
.	O
	
Nàìjíríà	B-LOC
jẹ́	O
orílẹ̀-èdè	O
kan	O
tí	O
ọ̀rọ̀	O
ẹ̀yà	O
ti	O
rinlẹ̀	O
gan-an	O
.	O
	
Àwọn	O
olóṣèlú	O
sì	O
máa	O
ń	O
sa	O
ẹ̀yàmẹyà	O
yìí	O
bí	O
oògùn	O
ní	O
àsìkò	O
ìdìbò	O
nítorí	O
wọ́n	O
máa	O
ń	O
nílò	O
láti	O
pín	O
àwọn	O
ènìyàn	O
sí	O
ẹgbẹ́	O
àwa	O
pẹ̀lú	O
wọn	O
.	O
	
Nítorí	O
náà	O
,	O
wọ́n	O
ní	O
í	O
lọ́kàn	O
láti	O
fi	O
ẹ̀sùn	O
tí	O
wọ́n	O
fi	O
kan	O
Obi	B-ORG
pé	O
ó	O
lé	O
àwọn	O
ará	O
Àríwá	O
padà	O
sí	O
ìlú	O
wọn	O
rú	O
inúnibíni	O
tí	O
ó	O
ti	O
wà	O
tẹ́lẹ̀	O
láàárín	O
ẹ̀yà	O
Igbo	O
àti	O
Hausa	O
tí	O
ó	O
fa	O
Ogun	B-PER
Abẹ́lée	O
Nàìjíríà	B-LOC
.	O
	
Èròǹgbà	O
wọn	O
pẹ̀lú	O
ìpolongo	O
àwọn	O
ìròyìn	O
ayédèrú	O
yìí	O
ni	O
láti	O
ṣe	O
àfihàn	O
Obi	B-ORG
gẹ́gẹ́	O
bí	O
ajìjàǹgbara	O
fún	O
ẹ̀yà	O
Biafra	B-LOC
.	O
	
Ẹ̀yà	O
tó	O
wà	O
ní	O
Gúúsù-ìwọ̀	O
oòrùn	O
Nàìjíríà	B-LOC
,	O
tí	O
ọ̀pọ̀lọpọ̀	O
wọn	O
jẹ́	O
ọmọ	O
Igbo	O
gbìyànjú	O
láti	O
ya	O
kúrò	O
lára	O
orílẹ̀-èdè	O
nípasẹ̀	O
ogun	O
abẹ́lé	O
tí	O
ó	O
wáyé	O
fún	O
ọdún	B-DATE
mẹ́ta	I-DATE
láàárín	I-DATE
ọdún	I-DATE
1967	I-DATE
sí	I-DATE
1970	I-DATE
.	O
	
Fún	O
ìdí	O
èyí	O
,	O
wọ́n	O
ní	O
í	O
lọ́kàn	O
láti	O
lo	O
àkọsílẹ̀	O
inú	O
atọ́ka	O
3	B-DATE
tí	O
ó	O
sọ	O
pé	O
Ìbò	O
kan	O
fún	O
Atiku	B-PER
jẹ́	O
ibo	O
fún	O
ẹ̀yà	O
Igbo…	O
fi	O
jí	O
òkú	O
ìkórìíra	O
ẹ̀yà	O
tẹ̀gbintẹ̀gbin	O
tí	O
ó	O
ti	O
wà	O
láàárín	O
ẹ̀yà	O
Hausa	O
àti	O
Igbo	O
.	O
	
Ní	O
àsìkò	O
ìdìbò	O
ọdún-un	B-DATE
2019	I-DATE
,	O
èyí	O
túmọ̀	O
sí	O
pé	O
Atiku	B-PER
jẹ́	O
agbèsẹ́yìn	O
ẹ̀yà	O
Igbo	O
tí	O
wọ́n	O
ti	O
fìgbà	O
kan	O
gbìyànjú	O
láti	O
pínyà	O
kúrò	O
nínú	O
orílẹ̀-èdèe	O
Nàìjíríà	B-LOC
.	O
	
Àkọsílẹ̀	O
inú	O
atọ́ka	O
1	B-DATE
dé	O
3	B-DATE
ń	O
ṣe	O
àfihàn	O
àwọn	O
èrò	O
tí	O
ó	O
lágbára	O
láti	O
jí	O
ìṣẹ̀lẹ̀	O
àtijọ́	O
tí	O
ó	O
ti	O
relẹ̀	O
,	O
tí	O
kòì	O
tí	O
ì	O
tán	O
nínú	O
àwọn	O
ẹ̀yà	O
méjèèjì	O
.	O
	
Àjọ	O
UNESCO	B-ORG
sọ	O
pé	O
ìròyìn	O
ayédèrú	O
báyìí	O
máa	O
ń	O
lapa	O
lára	O
àwọn	O
tí	O
ó	O
mọ̀	O
díẹ̀	O
káàtó	O
tí	O
ìpalára	O
lè	O
bá	O
tí	O
ó	O
ń	O
gbà	O
á	O
yóó	O
sì	O
sọ	O
wọ́n	O
di	O
aláriwo	O
àti	O
alápìínká	O
ìròyìn	O
náà	O
.	O
	
Ìpolongo	O
ìbò	O
tí	O
ó	O
bá	O
ti	O
ń	O
tako	O
ẹ̀yà	O
kan	O
máa	O
ń	O
fi	O
ẹ̀tanú	O
tó	O
rinlẹ̀	O
sínú	O
ọkàn	O
àwọn	O
tí	O
ó	O
ń	O
gbọ́	O
ọ	O
,	O
ó	O
sì	O
máa	O
ń	O
sọ	O
àwọn	O
olùgbọ́	O
yìí	O
di	O
alápìínká	O
ìròyìn	O
ayédèrú	O
.	O
	
Irọ́	O
tí	O
wọ́n	O
pa	O
pé	O
àwọn	O
Yorùbá	O
ń	O
tiná	O
bọ	O
ìsọ̀	O
àwọn	O
ọmọ	O
Igbo	O
nílùú	O
Èkó	B-LOC
	
Atọ́ka	O
4	B-DATE
:	O
Àwòrán	O
Túwíìtì	O
kan	O
[	O
ti	O
Twitter	B-ORG
lòdì	O
sí	O
tí	O
wọ́n	O
sì	O
yọ	O
kúrò	O
]	O
láti	O
ọwọ́	O
Chioma	B-PER
tí	O
ó	O
ń	O
ṣe	O
ìtànká	O
ìròyìn	O
ayédèrú	O
pé	O
àwọn	O
Yorùbá	O
ń	O
dáná	O
sun	O
ìsọ̀	O
àwọn	O
Igbo	O
nílùú	O
Èkó	B-LOC
.	O
	
Bákan	O
náà	O
,	O
àwọn	O
agbèsẹ́yìn	O
ẹgbẹ́ẹ	O
PDP	B-ORG
náà	O
lo	O
ọ̀rọ̀	O
ìdójúkọ	O
ẹ̀yà	O
yìí	O
láti	O
kó	O
ìbò	O
ju	O
ẹgbẹ́ẹ	O
APC	B-ORG
lọ	O
ní	O
ìpínlẹ̀	O
Èkó	B-LOC
.	O
	
Atọ́ka	O
4	B-DATE
àti	I-DATE
5	I-DATE
ń	O
ṣàfihàn	O
àwòrán	O
Túwíìtì	O
láti	O
ọwọ́	O
abánikẹ́dùn	O
PDP	B-ORG
kan	O
tí	O
ó	O
ń	O
sọ	O
pé	O
àwọn	O
Yorùbá	O
ti	O
ń	O
ti	O
iná	O
bọ	O
ìsọ̀	O
àwọn	O
ọmọ	O
Igbo	O
nílùú	O
Èkó	B-LOC
.	O
	
Irọ́	O
ni	O
àwọn	O
ìròyìn	O
náà	O
,	O
Àjọ	O
Ọlọ́pàá	O
ìpínlẹ̀	O
Èkó	B-LOC
sì	O
tètè	O
fi	O
òtítọ́	O
hàn	O
láti	O
pa	O
á	O
rẹ́	O
.	O
	
Àkọsílẹ̀	O
orí	O
Facebook	B-ORG
kan	O
tí	O
ó	O
fẹ́rẹ̀ẹ́	O
ṣàmúlò	O
gbogbo	O
ọ̀rọ̀	O
inú	O
àwòrán	O
atọ́ka	O
4	B-DATE
,	O
pẹ̀lú	O
àwòrán	O
ibi	O
tí	O
wọ́n	O
ti	O
fi	O
táyà	O
tó	O
ń	O
jó	O
dí	O
ọ̀nà	O
náà	O
ṣe	O
àpínká	O
ìròyìn	O
irọ́	O
náà	O
.	O
	
African	O
Check	O
jábọ̀	O
pé	O
àwòrán	O
tí	O
wọ́n	O
lò	O
yìí	O
jẹ́	O
àwòrán	O
kan	O
lati	O
ibi	O
ìfẹ̀hónúhàn	O
kan	O
ni	O
ọjọ́	B-DATE
24	I-DATE
oṣù	I-DATE
Èrèlé	I-DATE
ọdún	I-DATE
2017	I-DATE
tí	O
ó	O
wáyé	O
ní	O
agbègbè	O
kan	O
nítòsí	O
Pretoria	B-LOC
ní	O
orílẹ̀	O
èdè	O
South	B-LOC
Africa	I-LOC
.	O
	
Atọ́ka	O
5	B-DATE
:	O
Àwòrán	O
Túwíìtì	O
kan	O
tí	O
ó	O
ń	O
ṣe	O
ìtànká	O
ìròyìn	O
ayédèrú	O
kan	O
pé	O
àwọn	O
Yorùbá	O
ń	O
tiná	O
bọ	O
ìsọ̀	O
àwọn	O
ọmọ	O
Igbo	O
nílùú	O
Èkó	B-LOC
II	O
	
Ìsọkiri	O
láti	O
mú	O
èrò	O
inú	O
àwọn	O
olóṣèlú	O
ṣẹ	O
	
Ní	O
ọjọ́	B-DATE
13	I-DATE
oṣù	I-DATE
Èrèlé	I-DATE
,	O
olùṣàmúlò	O
Túwítà	O
kan	O
Souljah	O
túwíìtì	O
(	O
Atọ́ka	O
6	B-DATE
)	O
pé	O
Ballard	B-LOC
Partners	B-PER
,	O
tí	O
ó	O
jẹ́	O
iléeṣẹ́	O
Alukoro	O
kan	O
tí	O
wọ́n	O
gbà	O
síṣẹ́	O
tí	O
ó	O
kalẹ̀	O
sí	O
Washington	B-LOC
DC	I-LOC
,	O
láti	O
ṣe	O
ìpolongo	O
fún	O
Abubakar	B-PER
gẹ́gẹ́	O
bí	O
Ààrẹ	O
,	O
ṣe	O
ìwádìí	O
àyẹ̀wò	O
lábẹ́lẹ̀	O
kan	O
tí	O
ó	O
ti	O
ṣàpẹẹrẹ	O
ìfìdírẹmi	O
òǹdíje-dupò	O
lábẹ́	O
àsiá	O
ẹgbẹ́	O
alátakò	O
,	O
ìyẹn	O
PDP	B-ORG
.	O
	
Ní	O
ọjọ́	B-DATE
5	I-DATE
,	I-DATE
oṣù	I-DATE
Èrèlé	I-DATE
,	O
ìwé	O
àbájáde	O
ìwádìí	O
náà	O
tí	O
Brian	B-PER
Ballard	I-PER
,	O
adaríiléeṣẹ́	O
